artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Rae Sremmurd,Swang,6mapJIPnQ23RTAevUoE0DL,0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,audio_features,spotify:track:6mapJIPnQ23RTAevUoE0DL,https://api.spotify.com/v1/tracks/6mapJIPnQ23RTAevUoE0DL,https://api.spotify.com/v1/audio-analysis/6mapJIPnQ23RTAevUoE0DL,208120,4
Outkast,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,audio_features,spotify:track:0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/tracks/0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV,270507,4
Petey Pablo,Freek-A-Leek,4UNhyW0R7qylxrF6Z0q2Tb,0.737,0.697,2,-3.716,1,0.254,0.0756,0.0,0.359,0.662,104.917,audio_features,spotify:track:4UNhyW0R7qylxrF6Z0q2Tb,https://api.spotify.com/v1/tracks/4UNhyW0R7qylxrF6Z0q2Tb,https://api.spotify.com/v1/audio-analysis/4UNhyW0R7qylxrF6Z0q2Tb,235187,4
"Cashmere Cat, Starrah, 2 Chainz, Tory Lanez",Throw Myself A Party,5n6PtOoeGzBeKFDeGNozLd,0.626,0.64,8,-5.133,0,0.0525,0.195,0.0,0.147,0.516,136.072,audio_features,spotify:track:5n6PtOoeGzBeKFDeGNozLd,https://api.spotify.com/v1/tracks/5n6PtOoeGzBeKFDeGNozLd,https://api.spotify.com/v1/audio-analysis/5n6PtOoeGzBeKFDeGNozLd,248493,4
"Trick Daddy, Big D, Twista",Let's Go (feat. Big D & Twista),1fLibtVj3MrNTwRZq5yUOs,0.748,0.767,11,-7.806,0,0.172,0.0267,0.0,0.334,0.519,133.929,audio_features,spotify:track:1fLibtVj3MrNTwRZq5yUOs,https://api.spotify.com/v1/tracks/1fLibtVj3MrNTwRZq5yUOs,https://api.spotify.com/v1/audio-analysis/1fLibtVj3MrNTwRZq5yUOs,222200,4
Khia,"My Neck, My Back (Lick It)",5wpAfHdbEGUlMMDFqZCGKV,0.853,0.7,9,-2.05,0,0.117,0.0293,0.0,0.0574,0.741,102.069,audio_features,spotify:track:5wpAfHdbEGUlMMDFqZCGKV,https://api.spotify.com/v1/tracks/5wpAfHdbEGUlMMDFqZCGKV,https://api.spotify.com/v1/audio-analysis/5wpAfHdbEGUlMMDFqZCGKV,222333,4
J-Kwon,Tipsy - Radio Mix,2lVDc57IMK6nypg2iuEWVR,0.925,0.748,11,-5.572,0,0.278,0.0484,0.0,0.101,0.615,92.978,audio_features,spotify:track:2lVDc57IMK6nypg2iuEWVR,https://api.spotify.com/v1/tracks/2lVDc57IMK6nypg2iuEWVR,https://api.spotify.com/v1/audio-analysis/2lVDc57IMK6nypg2iuEWVR,243027,4
Kris Kross,Jump,27AHAtAirQapVldIm4c9ZX,0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972,audio_features,spotify:track:27AHAtAirQapVldIm4c9ZX,https://api.spotify.com/v1/tracks/27AHAtAirQapVldIm4c9ZX,https://api.spotify.com/v1/audio-analysis/27AHAtAirQapVldIm4c9ZX,195107,4
"Pusha T, Tyler, The Creator",Trouble on My Mind,3DzlR0kXE6shimFVhSwI4A,0.655,0.794,1,-6.113,0,0.367,0.0935,3.57e-05,0.383,0.608,172.106,audio_features,spotify:track:3DzlR0kXE6shimFVhSwI4A,https://api.spotify.com/v1/tracks/3DzlR0kXE6shimFVhSwI4A,https://api.spotify.com/v1/audio-analysis/3DzlR0kXE6shimFVhSwI4A,212507,4
50 Cent,Just A Lil Bit,4nva9EpKntUTs6CRSGBCn9,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,audio_features,spotify:track:4nva9EpKntUTs6CRSGBCn9,https://api.spotify.com/v1/tracks/4nva9EpKntUTs6CRSGBCn9,https://api.spotify.com/v1/audio-analysis/4nva9EpKntUTs6CRSGBCn9,237707,4
